tempo_h,p_man,q_tr
"782,300885","14,778946","199,089106"
"783,301270","14,779167","199,089264"
"784,301654","14,779366","199,089405"
"785,302039","14,779544","199,089532"
"786,302424","14,779705","199,089646"
"787,302809","14,779851","199,089750"
"788,303194","14,779981","199,089843"
"789,303578","14,780099","199,089927"
"790,303963","14,780207","199,090004"
"791,304348","14,780305","199,090074"
"792,304733","14,780392","199,090136"
"793,305117","14,780472","199,090193"
"794,305502","14,780544","199,090245"
"795,305887","14,780609","199,090291"
"796,306272","14,780668","199,090333"
"797,306656","14,780722","199,090372"
"798,307041","14,780772","199,090407"
"799,307426","14,780817","199,090439"
"800,307811","14,780817","199,090439"
"801,308195","13,660587","198,295314"
"802,308580","12,781953","197,666173"
"803,308965","11,991307","197,098547"
"804,309350","11,274364","196,582557"
"805,309735","10,623737","196,113232"
"806,310119","10,033232","195,686394"
"807,310504","9,497277","195,298255"
"808,310889","9,010825","194,945361"
"809,311274","8,569296","194,624555"
"810,311658","8,168534","194,332954"
"811,312043","7,804778","194,067936"
"812,312428","7,474611","193,827105"
"813,312813","7,174928","193,608276"
"814,313197","6,902905","193,409449"
"815,313582","6,655986","193,228816"
"816,313967","6,431850","193,064710"
"817,314352","6,228400","192,915645"
"818,314736","6,043727","192,780229"
"819,315121","5,876096","192,657328"
"820,315506","5,723933","192,545545"
"821,315891","5,585811","192,444133"
"822,316275","5,460434","192,352015"
"823,316660","5,346626","192,268360"
"824,317045","5,243319","192,192394"
"825,317430","5,149544","192,123419"
"826,317815","5,064421","192,060785"
"827,318199","4,987153","192,003913"
"828,318584","4,917013","191,952281"
"829,318969","4,853345","191,905397"
"830,319354","4,795552","191,862830"
"831,319738","4,743090","191,824184"
"832,320123","4,695469","191,789097"
"833,320508","4,652241","191,757242"
"834,320893","4,613001","191,728322"
"835,321277","4,577381","191,702066"
"836,321662","4,545046","191,678229"
"837,322047","4,515695","191,656589"
"838,322432","4,489051","191,636944"
"839,322816","4,464866","191,619109"
"840,323201","4,442912","191,602919"
"841,323586","4,422984","191,588222"
"842,323971","4,404894","191,574880"
"843,324356","4,388475","191,562768"
"844,324740","4,373570","191,551773"
"845,325125","4,360040","191,541793"
"846,325510","4,347759","191,532733"
"847,325895","4,336611","191,524508"
"848,326279","4,326491","191,517042"
"849,326664","4,317305","191,510264"
"850,327049","4,308966","191,504111"
"851,327434","4,301397","191,498526"
"852,327818","4,294527","191,493457"
"853,328203","4,288290","191,488855"
"854,328588","4,282630","191,484678"
"855,328973","4,277491","191,480887"
"856,329357","4,272827","191,477445"
"857,329742","4,268593","191,474321"
"858,330127","4,264750","191,471484"
"859,330512","4,261260","191,468909"
"860,330896","4,258093","191,466572"
"861,331281","4,255217","191,464449"
"862,331666","4,252607","191,462523"
"863,332051","4,250237","191,460774"
"864,332436","4,248086","191,459187"
"865,332820","4,246133","191,457746"
"866,333205","4,244361","191,456438"
"867,333590","4,242752","191,455250"
"868,333975","4,241292","191,454173"
"869,334359","4,239966","191,453194"
"870,334744","4,238762","191,452306"
"871,335129","4,237670","191,451500"
"872,335514","4,236678","191,450767"
"873,335898","4,235777","191,450103"
"874,336283","4,234960","191,449500"
"875,336668","4,234218","191,448952"
"876,337053","4,233545","191,448455"
"877,337437","4,232933","191,448004"
"878,337822","4,232378","191,447594"
"879,338207","4,231874","191,447222"
"880,338592","4,231417","191,446885"
"881,338977","4,231002","191,446578"
"882,339361","4,230625","191,446300"
"883,339746","4,230283","191,446048"
"884,340131","4,229972","191,445819"
"885,340516","4,229690","191,445610"
"886,340900","4,229434","191,445422"
"887,341285","4,229202","191,445250"
"888,341670","4,228991","191,445094"
"889,342055","4,228800","191,444953"
"890,342439","4,228626","191,444825"
"891,342824","4,228468","191,444709"
"892,343209","4,228325","191,444603"
"893,343594","4,228195","191,444507"
"894,343978","4,228078","191,444420"
"895,344363","4,227971","191,444342"
"896,344748","4,227874","191,444270"
"897,345133","4,227787","191,444206"
"898,345518","4,227707","191,444147"
"899,345902","4,227634","191,444093"
"900,346287","4,227634","191,444093"
"901,346672","4,227569","191,444045"
"902,347057","4,227511","191,444002"
"903,347441","4,227459","191,443964"
"904,347826","4,227411","191,443928"
"905,348211","4,227366","191,443895"
"906,348596","4,227325","191,443865"
"907,348980","4,227287","191,443837"
"908,349365","4,227252","191,443811"
"909,349750","4,227220","191,443788"
"910,350135","4,227191","191,443766"
"911,350519","4,227165","191,443747"
"912,350904","4,227141","191,443729"
"913,351289","4,227119","191,443713"
"914,351674","4,227099","191,443698"
"915,352058","4,227081","191,443685"
"916,352443","4,227065","191,443673"
"917,352828","4,227050","191,443662"
"918,353213","4,227037","191,443652"
"919,353598","4,227025","191,443643"
"920,353982","4,227014","191,443635"
"921,354367","4,227004","191,443628"
"922,354752","4,226995","191,443621"
"923,355137","4,226987","191,443616"
"924,355521","4,226980","191,443610"
"925,355906","4,226974","191,443606"
"926,356291","4,226968","191,443602"
"927,356676","4,226963","191,443598"
"928,357060","4,226959","191,443594"
"929,357445","4,226955","191,443592"
"930,357830","4,226951","191,443589"
"931,358215","4,226948","191,443586"
"932,358599","4,226945","191,443584"
"933,358984","4,226942","191,443582"
"934,359369","4,226940","191,443581"
"935,359754","4,226938","191,443579"
"936,360139","4,226936","191,443578"
"937,360523","4,226935","191,443577"
"938,360908","4,226933","191,443576"
"939,361293","4,226932","191,443575"
"940,361678","4,226931","191,443574"
"941,362062","4,226930","191,443573"
"942,362447","4,226929","191,443572"
"943,362832","4,226927","191,443571"
"944,363217","4,226926","191,443571"
"945,363601","4,226925","191,443570"
"946,363986","4,226924","191,443569"
"947,364371","4,226924","191,443569"
"948,364756","4,226923","191,443568"
"949,365140","4,226922","191,443567"
"950,365525","4,226922","191,443567"
