tempo,p_man,q_tr
"3586,379377","4,012699","191,285400"
"3601,385148","4,032461","191,299996"
"3616,390920","4,050400","191,313245"
"3631,396691","4,066684","191,325270"
"3646,402462","4,081464","191,336185"
"3661,408234","4,094882","191,346092"
"3676,414005","4,107061","191,355085"
"3691,419777","4,118116","191,363248"
"3706,425548","4,128152","191,370657"
"3721,431320","4,137262","191,377383"
"3736,437091","4,145532","191,383488"
"3751,442863","4,153038","191,389030"
"3766,448634","4,159853","191,394061"
"3781,454406","4,166039","191,398628"
"3796,460177","4,171654","191,402773"
"3811,465948","4,176752","191,406536"
"3826,471720","4,181379","191,409951"
"3841,477491","4,185579","191,413052"
"3856,483263","4,189392","191,415866"
"3871,489034","4,192853","191,418421"
"3886,494806","4,195995","191,420740"
"3901,500577","4,198847","191,422846"
"3916,506349","4,201436","191,424757"
"3931,512120","4,203786","191,426491"
"3946,517891","4,205920","191,428066"
"3961,523663","4,207857","191,429496"
"3976,529434","4,209615","191,430793"
"3991,535206","4,211210","191,431971"
"4006,540977","4,212659","191,433040"
"4021,546749","4,213974","191,434011"
"4036,552520","4,215168","191,434892"
"4051,558292","4,216251","191,435692"
"4066,564063","4,217235","191,436418"
"4081,569835","4,218128","191,437077"
"4096,575606","4,218939","191,437675"
"4111,581377","4,219674","191,438218"
"4126,587149","4,220342","191,438711"
"4141,592920","4,220949","191,439159"
"4156,598692","4,221499","191,439565"
"4171,604463","4,221999","191,439934"
"4186,610235","4,222452","191,440268"
"4201,616006","4,222864","191,440572"
"4216,621778","4,223238","191,440848"
"4231,627549","4,223577","191,441098"
"4246,633321","4,223885","191,441326"
"4261,639092","4,224164","191,441532"
"4276,644863","4,224418","191,441719"
"4291,650635","4,224648","191,441889"
"4306,656406","4,224857","191,442043"
"4321,662178","4,225046","191,442183"
"4336,667949","4,225218","191,442310"
"4351,673721","4,225374","191,442425"
"4366,679492","4,225515","191,442529"
"4381,685264","4,225644","191,442624"
"4396,691035","4,225760","191,442710"
"4411,696806","4,225866","191,442788"
"4426,702578","4,225962","191,442859"
"4441,708349","4,226049","191,442923"
